filename,grid_row,grid_col,horizontal_offset_m,depth_offset_m,expected_ground_distance_m,expected_euclidean_m
left_20deg_154cmgnd_250cmgrid_20250926_111529.jpg,4,2,-0.25,4.45,4.457,4.716
left_20deg_154cmgnd_250cmgrid_20250926_111529.jpg,4,3,0.25,4.45,4.457,4.716
left_20deg_154cmgnd_250cmgrid_20250926_111529.jpg,4,4,0.75,4.45,4.513,4.768
left_35deg_150cmgnd_200cmgrid_20250926_103550.jpg,1,1,-0.75,2.3,2.419,2.846
left_35deg_150cmgnd_200cmgrid_20250926_103550.jpg,1,2,-0.25,2.3,2.314,2.757
left_35deg_150cmgnd_200cmgrid_20250926_103550.jpg,1,3,0.25,2.3,2.314,2.757
left_35deg_150cmgnd_200cmgrid_20250926_103550.jpg,1,4,0.75,2.3,2.419,2.846
left_35deg_150cmgnd_200cmgrid_20250926_103550.jpg,2,1,-0.75,2.85,2.947,3.307
left_35deg_150cmgnd_200cmgrid_20250926_103550.jpg,2,2,-0.25,2.85,2.861,3.23
left_35deg_150cmgnd_200cmgrid_20250926_103550.jpg,2,3,0.25,2.85,2.861,3.23
left_35deg_150cmgnd_200cmgrid_20250926_103550.jpg,2,4,0.75,2.85,2.947,3.307
left_35deg_150cmgnd_200cmgrid_20250926_103550.jpg,3,1,-0.75,3.4,3.482,3.791
left_35deg_150cmgnd_200cmgrid_20250926_103550.jpg,3,2,-0.25,3.4,3.409,3.725
left_35deg_150cmgnd_200cmgrid_20250926_103550.jpg,3,3,0.25,3.4,3.409,3.725
left_35deg_150cmgnd_200cmgrid_20250926_103550.jpg,3,4,0.75,3.4,3.482,3.791
left_35deg_150cmgnd_200cmgrid_20250926_103550.jpg,4,1,-0.75,3.95,4.021,4.291
left_35deg_150cmgnd_200cmgrid_20250926_103550.jpg,4,2,-0.25,3.95,3.958,4.233
left_35deg_150cmgnd_200cmgrid_20250926_103550.jpg,4,3,0.25,3.95,3.958,4.233
left_35deg_150cmgnd_200cmgrid_20250926_103550.jpg,4,4,0.75,3.95,4.021,4.291
left_35deg_160cmgnd_100cmgrid_20250926_102917.jpg,1,1,-0.75,1.3,1.501,2.194
left_35deg_160cmgnd_100cmgrid_20250926_102917.jpg,1,2,-0.25,1.3,1.324,2.077
left_35deg_160cmgnd_100cmgrid_20250926_102917.jpg,1,3,0.25,1.3,1.324,2.077
left_35deg_160cmgnd_100cmgrid_20250926_102917.jpg,1,4,0.75,1.3,1.501,2.194
left_35deg_160cmgnd_100cmgrid_20250926_102917.jpg,2,1,-0.75,1.85,1.996,2.558
left_35deg_160cmgnd_100cmgrid_20250926_102917.jpg,2,2,-0.25,1.85,1.867,2.459
left_35deg_160cmgnd_100cmgrid_20250926_102917.jpg,2,3,0.25,1.85,1.867,2.459
left_35deg_160cmgnd_100cmgrid_20250926_102917.jpg,2,4,0.75,1.85,1.996,2.558
left_35deg_160cmgnd_100cmgrid_20250926_102917.jpg,3,1,-0.75,2.4,2.514,2.98
left_35deg_160cmgnd_100cmgrid_20250926_102917.jpg,3,2,-0.25,2.4,2.413,2.895
left_35deg_160cmgnd_100cmgrid_20250926_102917.jpg,3,3,0.25,2.4,2.413,2.895
left_35deg_160cmgnd_100cmgrid_20250926_102917.jpg,3,4,0.75,2.4,2.514,2.98
left_35deg_160cmgnd_100cmgrid_20250926_102917.jpg,4,1,-0.75,2.95,3.044,3.439
left_35deg_160cmgnd_100cmgrid_20250926_102917.jpg,4,2,-0.25,2.95,2.961,3.365
left_35deg_160cmgnd_100cmgrid_20250926_102917.jpg,4,3,0.25,2.95,2.961,3.365
left_35deg_160cmgnd_100cmgrid_20250926_102917.jpg,4,4,0.75,2.95,3.044,3.439
left_35deg_160cmgnd_200cmgrid_20250926_102751.jpg,1,1,-0.75,2.3,2.419,2.9
left_35deg_160cmgnd_200cmgrid_20250926_102751.jpg,1,2,-0.25,2.3,2.314,2.813
left_35deg_160cmgnd_200cmgrid_20250926_102751.jpg,1,3,0.25,2.3,2.314,2.813
left_35deg_160cmgnd_200cmgrid_20250926_102751.jpg,1,4,0.75,2.3,2.419,2.9
left_35deg_160cmgnd_200cmgrid_20250926_102751.jpg,2,1,-0.75,2.85,2.947,3.353
left_35deg_160cmgnd_200cmgrid_20250926_102751.jpg,2,2,-0.25,2.85,2.861,3.278
left_35deg_160cmgnd_200cmgrid_20250926_102751.jpg,2,3,0.25,2.85,2.861,3.278
left_35deg_160cmgnd_200cmgrid_20250926_102751.jpg,2,4,0.75,2.85,2.947,3.353
left_35deg_160cmgnd_200cmgrid_20250926_102751.jpg,3,1,-0.75,3.4,3.482,3.832
left_35deg_160cmgnd_200cmgrid_20250926_102751.jpg,3,2,-0.25,3.4,3.409,3.766
left_35deg_160cmgnd_200cmgrid_20250926_102751.jpg,3,3,0.25,3.4,3.409,3.766
left_35deg_160cmgnd_200cmgrid_20250926_102751.jpg,3,4,0.75,3.4,3.482,3.832
left_35deg_160cmgnd_200cmgrid_20250926_102751.jpg,4,1,-0.75,3.95,4.021,4.327
left_35deg_160cmgnd_200cmgrid_20250926_102751.jpg,4,2,-0.25,3.95,3.958,4.269
left_35deg_160cmgnd_200cmgrid_20250926_102751.jpg,4,3,0.25,3.95,3.958,4.269
left_35deg_160cmgnd_200cmgrid_20250926_102751.jpg,4,4,0.75,3.95,4.021,4.327
left_35deg_185cmgnd_100cmgrid_20250926_103842.jpg,1,1,-0.75,1.3,1.501,2.382
left_35deg_185cmgnd_100cmgrid_20250926_103842.jpg,1,2,-0.25,1.3,1.324,2.275
left_35deg_185cmgnd_100cmgrid_20250926_103842.jpg,1,3,0.25,1.3,1.324,2.275
left_35deg_185cmgnd_100cmgrid_20250926_103842.jpg,1,4,0.75,1.3,1.501,2.382
left_35deg_185cmgnd_100cmgrid_20250926_103842.jpg,2,1,-0.75,1.85,1.996,2.722
left_35deg_185cmgnd_100cmgrid_20250926_103842.jpg,2,2,-0.25,1.85,1.867,2.628
left_35deg_185cmgnd_100cmgrid_20250926_103842.jpg,2,3,0.25,1.85,1.867,2.628
left_35deg_185cmgnd_100cmgrid_20250926_103842.jpg,2,4,0.75,1.85,1.996,2.722
left_35deg_185cmgnd_100cmgrid_20250926_103842.jpg,3,1,-0.75,2.4,2.514,3.122
left_35deg_185cmgnd_100cmgrid_20250926_103842.jpg,3,2,-0.25,2.4,2.413,3.041
