filename,grid_row,grid_col,horizontal_offset_m,depth_offset_m,expected_ground_distance_m,expected_euclidean_m
left_45deg_185cmgnd_150cmgrid_20250926_105905.jpg,2,4,0.75,2.35,2.467,3.083
left_45deg_185cmgnd_150cmgrid_20250926_105905.jpg,3,1,-0.75,2.9,2.995,3.521
left_45deg_185cmgnd_150cmgrid_20250926_105905.jpg,3,2,-0.25,2.9,2.911,3.449
left_45deg_185cmgnd_150cmgrid_20250926_105905.jpg,3,3,0.25,2.9,2.911,3.449
left_45deg_185cmgnd_150cmgrid_20250926_105905.jpg,3,4,0.75,2.9,2.995,3.521
left_45deg_185cmgnd_150cmgrid_20250926_105905.jpg,4,1,-0.75,3.45,3.531,3.986
left_45deg_185cmgnd_150cmgrid_20250926_105905.jpg,4,2,-0.25,3.45,3.459,3.923
left_45deg_185cmgnd_150cmgrid_20250926_105905.jpg,4,3,0.25,3.45,3.459,3.923
left_45deg_185cmgnd_150cmgrid_20250926_105905.jpg,4,4,0.75,3.45,3.531,3.986
left_45deg_185cmgnd_250cmgrid_20250926_105807.jpg,1,1,-0.75,2.8,2.899,3.439
left_45deg_185cmgnd_250cmgrid_20250926_105807.jpg,1,2,-0.25,2.8,2.811,3.365
left_45deg_185cmgnd_250cmgrid_20250926_105807.jpg,1,3,0.25,2.8,2.811,3.365
left_45deg_185cmgnd_250cmgrid_20250926_105807.jpg,1,4,0.75,2.8,2.899,3.439
left_45deg_185cmgnd_250cmgrid_20250926_105807.jpg,2,1,-0.75,3.35,3.433,3.9
left_45deg_185cmgnd_250cmgrid_20250926_105807.jpg,2,2,-0.25,3.35,3.359,3.835
left_45deg_185cmgnd_250cmgrid_20250926_105807.jpg,2,3,0.25,3.35,3.359,3.835
left_45deg_185cmgnd_250cmgrid_20250926_105807.jpg,2,4,0.75,3.35,3.433,3.9
left_45deg_185cmgnd_250cmgrid_20250926_105807.jpg,3,1,-0.75,3.9,3.971,4.381
left_45deg_185cmgnd_250cmgrid_20250926_105807.jpg,3,2,-0.25,3.9,3.908,4.324
left_45deg_185cmgnd_250cmgrid_20250926_105807.jpg,3,3,0.25,3.9,3.908,4.324
left_45deg_185cmgnd_250cmgrid_20250926_105807.jpg,3,4,0.75,3.9,3.971,4.381
left_45deg_185cmgnd_250cmgrid_20250926_105807.jpg,4,1,-0.75,4.45,4.513,4.877
left_45deg_185cmgnd_250cmgrid_20250926_105807.jpg,4,2,-0.25,4.45,4.457,4.826
left_45deg_185cmgnd_250cmgrid_20250926_105807.jpg,4,3,0.25,4.45,4.457,4.826
left_45deg_185cmgnd_250cmgrid_20250926_105807.jpg,4,4,0.75,4.45,4.513,4.877
