               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.030652,             0.04964,                   0,                   0,                   0,                   0,                   0,                   0,           0.0076088,                   0,            0.070638,           0.0032624,           0.0032624
                   1,            0.035281,            0.051338,                   0,                   0,                   0,                   0,                   0,                   0,          0.00033429,                   0,            0.040475,           0.0064325,           0.0064325
                   2,            0.039514,            0.053067,                   0,                   0,                   0,                   0,                   0,                   0,          0.00017356,                   0,            0.010147,           0.0094376,           0.0094376
