Metric,Value
Epochs Trained,38
Last Epoch mAP@0.5,0.9950
Last Epoch mAP@0.5:0.95,0.6121
Last Epoch Precision,0.9978
Last Epoch Recall,1.0000
Last Epoch Box Loss,0.0277
Last Epoch Objectness Loss,0.0376
Last Epoch Classification Loss,0.0000
Best Epoch Number,12
Best Epoch mAP@0.5,0.9950
Best Epoch mAP@0.5:0.95,0.5598
Best Epoch Precision,1.0000
Best Epoch Recall,0.9981
Best Epoch Box Loss,0.0310
Best Epoch Objectness Loss,0.0394
Best Epoch Classification Loss,0.0000
